Question,Answer
Update Kubernetes ConfigMap,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Update Kubernetes ConfigMap. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., kubectl apply -f configmap.yaml)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Update Kubernetes ConfigMap' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Amit Reddy"", ""Email"": ""amit.reddy@example.com"", ""Phone"": ""+91-9000000027""}, ""Escalation"": {""Name"": ""Kabir Sharma"", ""Email"": ""kabir.sharma@example.com"", ""Phone"": ""+91-9100000027""}}}"
Apply Terraform Plan,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Apply Terraform Plan. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., terraform apply -auto-approve)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Apply Terraform Plan' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Priya Fernandes"", ""Email"": ""priya.fernandes@example.com"", ""Phone"": ""+91-9000000028""}, ""Escalation"": {""Name"": ""Meera Kapoor"", ""Email"": ""meera.kapoor@example.com"", ""Phone"": ""+91-9100000028""}}}"
Run Ansible Playbook,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Run Ansible Playbook. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., ansible-playbook -i inventory site.yml)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Run Ansible Playbook' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Anika Verma"", ""Email"": ""anika.verma@example.com"", ""Phone"": ""+91-9000000029""}, ""Escalation"": {""Name"": ""Kabir Gupta"", ""Email"": ""kabir.gupta@example.com"", ""Phone"": ""+91-9100000029""}}}"
Trigger Jenkins Pipeline,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Trigger Jenkins Pipeline. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., jenkins-cli build CI-Pipeline)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Trigger Jenkins Pipeline' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Meera Johnson"", ""Email"": ""meera.johnson@example.com"", ""Phone"": ""+91-9000000030""}, ""Escalation"": {""Name"": ""Isha Sharma"", ""Email"": ""isha.sharma@example.com"", ""Phone"": ""+91-9100000030""}}}"
Rollback Application Deployment,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Rollback Application Deployment. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., kubectl rollout undo deploy/web)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Rollback Application Deployment' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Emma Brown"", ""Email"": ""emma.brown@example.com"", ""Phone"": ""+91-9000000031""}, ""Escalation"": {""Name"": ""Sanjana Gupta"", ""Email"": ""sanjana.gupta@example.com"", ""Phone"": ""+91-9100000031""}}}"
Run Health Check,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Run Health Check. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., curl -f https://app/health)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Run Health Check' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Kabir Kumar"", ""Email"": ""kabir.kumar@example.com"", ""Phone"": ""+91-9000000032""}, ""Escalation"": {""Name"": ""Rahul Iyer"", ""Email"": ""rahul.iyer@example.com"", ""Phone"": ""+91-9100000032""}}}"
Run Smoke Tests,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Run Smoke Tests. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., pytest -m smoke)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Run Smoke Tests' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Sanjana Sharma"", ""Email"": ""sanjana.sharma@example.com"", ""Phone"": ""+91-9000000033""}, ""Escalation"": {""Name"": ""Riya Fernandes"", ""Email"": ""riya.fernandes@example.com"", ""Phone"": ""+91-9100000033""}}}"
Enable Feature Flag,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Enable Feature Flag. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., ffctl enable feature_x)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Enable Feature Flag' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Ananya Desai"", ""Email"": ""ananya.desai@example.com"", ""Phone"": ""+91-9000000034""}, ""Escalation"": {""Name"": ""Sanjana Kumar"", ""Email"": ""sanjana.kumar@example.com"", ""Phone"": ""+91-9100000034""}}}"
Disable Feature Flag,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Disable Feature Flag. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., ffctl disable feature_x)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Disable Feature Flag' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Anika Martinez"", ""Email"": ""anika.martinez@example.com"", ""Phone"": ""+91-9000000035""}, ""Escalation"": {""Name"": ""Kabir Verma"", ""Email"": ""kabir.verma@example.com"", ""Phone"": ""+91-9100000035""}}}"
Update DNS Record,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Update DNS Record. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., az network dns record-set a add-record ...)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Update DNS Record' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Isha Patel"", ""Email"": ""isha.patel@example.com"", ""Phone"": ""+91-9000000036""}, ""Escalation"": {""Name"": ""Sophia Martinez"", ""Email"": ""sophia.martinez@example.com"", ""Phone"": ""+91-9100000036""}}}"
Scale VM Horizontally,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Scale VM Horizontally. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., cloudctl autoscale set --min 3 --max 10)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Scale VM Horizontally' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Vikram Miller"", ""Email"": ""vikram.miller@example.com"", ""Phone"": ""+91-9000000037""}, ""Escalation"": {""Name"": ""Meera Bose"", ""Email"": ""meera.bose@example.com"", ""Phone"": ""+91-9100000037""}}}"
Scale VM Vertically,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Scale VM Vertically. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., cloudctl vm resize --cpu 8 --ram 32G)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Scale VM Vertically' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Kabir Patel"", ""Email"": ""kabir.patel@example.com"", ""Phone"": ""+91-9000000038""}, ""Escalation"": {""Name"": ""Rakesh Gupta"", ""Email"": ""rakesh.gupta@example.com"", ""Phone"": ""+91-9100000038""}}}"
Provision New VM,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Provision New VM. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., cloudctl vm create --image ubuntu-22.04)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Provision New VM' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Michael Nair"", ""Email"": ""michael.nair@example.com"", ""Phone"": ""+91-9000000039""}, ""Escalation"": {""Name"": ""Sanjana D'Souza"", ""Email"": ""sanjana.dsouza@example.com"", ""Phone"": ""+91-9100000039""}}}"
Deprovision VM,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Deprovision VM. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., cloudctl vm delete --id vm-123)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Deprovision VM' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Arjun Iyer"", ""Email"": ""arjun.iyer@example.com"", ""Phone"": ""+91-9000000040""}, ""Escalation"": {""Name"": ""Liam Bose"", ""Email"": ""liam.bose@example.com"", ""Phone"": ""+91-9100000040""}}}"
Restart Kubernetes Node,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Kubernetes Node. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., kubectl cordon node1 && systemctl reboot)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Kubernetes Node' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Liam Fernandes"", ""Email"": ""liam.fernandes@example.com"", ""Phone"": ""+91-9000000041""}, ""Escalation"": {""Name"": ""Rahul Das"", ""Email"": ""rahul.das@example.com"", ""Phone"": ""+91-9100000041""}}}"
Drain Kubernetes Node,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Drain Kubernetes Node. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., kubectl drain node1 --ignore-daemonsets)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Drain Kubernetes Node' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Anil Das"", ""Email"": ""anil.das@example.com"", ""Phone"": ""+91-9000000042""}, ""Escalation"": {""Name"": ""Abhay Nair"", ""Email"": ""abhay.nair@example.com"", ""Phone"": ""+91-9100000042""}}}"
Restart Docker Service,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Docker Service. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart docker)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Docker Service' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Kabir Miller"", ""Email"": ""kabir.miller@example.com"", ""Phone"": ""+91-9000000043""}, ""Escalation"": {""Name"": ""Anika Sharma"", ""Email"": ""anika.sharma@example.com"", ""Phone"": ""+91-9100000043""}}}"
Prune Docker Images,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Prune Docker Images. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., docker image prune -a -f)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Prune Docker Images' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Kiran Nair"", ""Email"": ""kiran.nair@example.com"", ""Phone"": ""+91-9000000044""}, ""Escalation"": {""Name"": ""Arjun Fernandes"", ""Email"": ""arjun.fernandes@example.com"", ""Phone"": ""+91-9100000044""}}}"
Refresh OAuth Tokens,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Refresh OAuth Tokens. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., authctl refresh-tokens)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Refresh OAuth Tokens' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Sara Das"", ""Email"": ""sara.das@example.com"", ""Phone"": ""+91-9000000045""}, ""Escalation"": {""Name"": ""Nisha Singh"", ""Email"": ""nisha.singh@example.com"", ""Phone"": ""+91-9100000045""}}}"
Restart SFTP Service,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart SFTP Service. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart sftp)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart SFTP Service' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Isha Nair"", ""Email"": ""isha.nair@example.com"", ""Phone"": ""+91-9000000046""}, ""Escalation"": {""Name"": ""Vikram Nair"", ""Email"": ""vikram.nair@example.com"", ""Phone"": ""+91-9100000046""}}}"
Rotate API Keys,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Rotate API Keys. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., apikeyctl rotate --service app)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Rotate API Keys' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Neha Brown"", ""Email"": ""neha.brown@example.com"", ""Phone"": ""+91-9000000047""}, ""Escalation"": {""Name"": ""Rahul Kumar"", ""Email"": ""rahul.kumar@example.com"", ""Phone"": ""+91-9100000047""}}}"
Restore from Snapshot,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restore from Snapshot. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., cloudctl snapshot restore --id snap-001)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restore from Snapshot' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Amit Verma"", ""Email"": ""amit.verma@example.com"", ""Phone"": ""+91-9000000048""}, ""Escalation"": {""Name"": ""Michael Reddy"", ""Email"": ""michael.reddy@example.com"", ""Phone"": ""+91-9100000048""}}}"
Create Snapshot,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Create Snapshot. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., cloudctl snapshot create --volume vol-01)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Create Snapshot' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Sanjana Kapoor"", ""Email"": ""sanjana.kapoor@example.com"", ""Phone"": ""+91-9000000049""}, ""Escalation"": {""Name"": ""Priya Nair"", ""Email"": ""priya.nair@example.com"", ""Phone"": ""+91-9100000049""}}}"
Update Firewall Rules,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Update Firewall Rules. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., ufw allow 443/tcp)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Update Firewall Rules' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Neha Gupta"", ""Email"": ""neha.gupta@example.com"", ""Phone"": ""+91-9000000050""}, ""Escalation"": {""Name"": ""Anika D'Souza"", ""Email"": ""anika.dsouza@example.com"", ""Phone"": ""+91-9100000050""}}}"
Open Firewall Port,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Open Firewall Port. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., iptables -A INPUT -p tcp --dport 8080 -j ACCEPT)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Open Firewall Port' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Sophia Iyer"", ""Email"": ""sophia.iyer@example.com"", ""Phone"": ""+91-9000000051""}, ""Escalation"": {""Name"": ""Kiran Brown"", ""Email"": ""kiran.brown@example.com"", ""Phone"": ""+91-9100000051""}}}"
Close Firewall Port,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Close Firewall Port. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., iptables -D INPUT -p tcp --dport 8080 -j ACCEPT)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Close Firewall Port' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Liam D'Souza"", ""Email"": ""liam.dsouza@example.com"", ""Phone"": ""+91-9000000052""}, ""Escalation"": {""Name"": ""Sneha Singh"", ""Email"": ""sneha.singh@example.com"", ""Phone"": ""+91-9100000052""}}}"
